UnixTime,Row,Segment,Timestamp,ET_GazeLeftx,ET_GazeLefty,ET_GazeRightx,ET_GazeRighty,ET_PupilLeft,ET_PupilRight,ET_TimeSignal,ET_DistanceLeft,ET_DistanceRight,ET_CameraLeftX,ET_CameraLeftY,ET_CameraRightX,ET_CameraRightY,ET_ValidityLeft,ET_ValidityRight,Participant
1680003245.4995704,12060,BlankScreen1,2023-03-28 17:04:05.499570,964.0,484.0,981.0,532.0,-1.0,-1.0,100507.919,585.3433837890625,580.052978515625,0.5866662263870239,0.4904254972934722,0.4269402623176574,0.4897248744964599,0.0,0.0,1
1680003245.5079389,12061,BlankScreen1,2023-03-28 17:04:05.507939,960.0,470.0,984.0,534.0,2.981048583984375,3.03045654296875,100516.287,585.6817016601562,580.115234375,0.5865706801414489,0.4904382526874542,0.4268804192543029,0.48980313539505,0.0,0.0,1
1680003245.5162354,12062,BlankScreen1,2023-03-28 17:04:05.516235,975.0,492.0,990.0,527.0,-1.0,-1.0,100524.58500000002,585.8676147460938,580.0633544921875,0.5864915251731871,0.4904031455516815,0.4268185496330261,0.4897936284542083,0.0,0.0,1
1680003245.5245802,12063,BlankScreen1,2023-03-28 17:04:05.524580,990.0,520.0,995.0,525.0,-1.0,-1.0,100532.929,586.1046142578125,580.1007690429688,0.5866789817810057,0.4904434382915496,0.426932156085968,0.4897816479206085,0.0,0.0,1
1680003245.5329113,12064,BlankScreen1,2023-03-28 17:04:05.532911,989.0,517.0,992.0,530.0,3.0129852294921875,3.0455474853515625,100541.262,586.2879638671875,580.1494750976562,0.5865601301193237,0.4904306530952453,0.426878809928894,0.4897807240486145,0.0,0.0,1
1680003245.541239,12065,BlankScreen1,2023-03-28 17:04:05.541239,991.0,519.0,991.0,544.0,-1.0,-1.0,100549.59000000004,586.2838134765625,580.0838623046875,0.5864609479904174,0.490390658378601,0.4268110692501068,0.4897297024726867,0.0,0.0,1
1680003245.5495925,12066,BlankScreen1,2023-03-28 17:04:05.549592,988.0,522.0,989.0,546.0,-1.0,-1.0,100557.939,586.2584838867188,580.1102294921875,0.5866557359695433,0.4904360473155975,0.4269555211067199,0.4897594451904296,0.0,0.0,1
1680003245.5580213,12067,BlankScreen1,2023-03-28 17:04:05.558021,986.0,498.0,1000.0,531.0,2.3183135986328125,2.9910888671875,100566.37200000005,586.1976928710938,580.14599609375,0.5866060853004454,0.4903962910175323,0.4269072711467742,0.4897200167179107,0.0,0.0,1
1680003245.566373,12068,BlankScreen1,2023-03-28 17:04:05.566373,973.0,482.0,995.0,513.0,-1.0,-1.0,100574.722,585.974365234375,580.065185546875,0.5865156650543212,0.4903523623943328,0.4268450140953064,0.4897274374961853,0.0,0.0,1
1680003245.5745685,12069,BlankScreen1,2023-03-28 17:04:05.574569,974.0,478.0,988.0,511.0,-1.0,-1.0,100582.919,585.7757568359375,580.0722045898438,0.586704671382904,0.490342229604721,0.4269568920135498,0.4896899759769439,0.0,0.0,1
1680003245.582916,12070,BlankScreen1,2023-03-28 17:04:05.582916,973.0,478.0,982.0,514.0,2.931488037109375,2.967498779296875,100591.265,585.5908203125,580.0911865234375,0.5865305662155151,0.4902623891830444,0.4268962144851684,0.4896616637706756,0.0,0.0,1
1680003245.5912995,12071,BlankScreen1,2023-03-28 17:04:05.591300,989.0,481.0,989.0,524.0,-1.0,-1.0,100599.648,585.2802124023438,580.0064086914064,0.5865388512611389,0.4902876615524292,0.426829993724823,0.4896630942821502,0.0,0.0,1
1680003245.5996034,12072,BlankScreen1,2023-03-28 17:04:05.599603,982.0,506.0,987.0,528.0,-1.0,-1.0,100607.95400000004,585.0253295898438,580.0186767578125,0.5866933465003967,0.4902598857879638,0.4269351661205291,0.4896298944950103,0.0,0.0,1
1680003245.607901,12073,BlankScreen1,2023-03-28 17:04:05.607901,970.0,492.0,991.0,527.0,2.757186889648437,2.98516845703125,100616.249,584.7984008789064,580.0460815429688,0.5865442752838134,0.4901999235153198,0.4268817901611328,0.489617109298706,0.0,0.0,1
1680003245.6162343,12074,BlankScreen1,2023-03-28 17:04:05.616235,987.0,498.0,991.0,536.0,-1.0,-1.0,100624.58500000002,584.4666137695312,579.9711303710938,0.586560845375061,0.4902211129665374,0.4268124401569366,0.4896251559257507,0.0,0.0,1
1680003245.624571,12075,BlankScreen1,2023-03-28 17:04:05.624571,996.0,487.0,991.0,553.0,-1.0,-1.0,100632.91999999998,584.2484741210938,579.9970703125,0.5867175459861755,0.4902426898479461,0.4269167184829711,0.4895958304405212,0.0,0.0,1
1680003245.6329148,12076,BlankScreen1,2023-03-28 17:04:05.632915,984.0,483.0,990.0,553.0,2.7605743408203125,3.0078277587890625,100641.25900000002,584.10009765625,580.042724609375,0.5865656733512878,0.4901528358459472,0.4268515110015869,0.489604651927948,0.0,0.0,1
1680003245.641239,12077,BlankScreen1,2023-03-28 17:04:05.641239,1002.0,497.0,986.0,511.0,-1.0,-1.0,100649.58900000004,583.8951416015625,579.9862060546875,0.5865945816040039,0.490229308605194,0.4267916083335876,0.4896391332149505,0.0,0.0,1
1680003245.6498232,12078,BlankScreen1,2023-03-28 17:04:05.649823,1001.0,502.0,987.0,511.0,-1.0,-1.0,100658.16999999998,583.806640625,580.0314331054688,0.5867270231246948,0.4902378320693969,0.4268980622291564,0.4896036684513092,0.0,0.0,1
1680003245.657916,12079,BlankScreen1,2023-03-28 17:04:05.657916,-1.0,-1.0,966.0,551.0,-1.0,3.0005340576171875,100666.266,-1.0,580.0945434570312,-1.0,-1.0,0.4267526268959045,0.4896136820316314,4.0,0.0,1
1680003245.666228,12080,BlankScreen1,2023-03-28 17:04:05.666228,1001.0,477.0,966.0,551.0,-1.0,-1.0,100674.57799999998,583.675048828125,580.0499267578125,0.5861586332321167,0.4902563393115997,0.426418513059616,0.4896743595600128,0.0,0.0,1
1680003245.6746058,12081,BlankScreen1,2023-03-28 17:04:05.674606,1046.0,480.0,1071.0,526.0,-1.0,-1.0,100682.956,583.6742553710938,580.10595703125,0.5860840082168579,0.4902455806732177,0.4263412952423095,0.4896167516708374,0.0,0.0,1
1680003245.682898,12082,BlankScreen1,2023-03-28 17:04:05.682898,1071.0,464.0,1125.0,517.0,2.6601715087890625,2.9989776611328125,100691.24700000005,583.7311401367188,580.1747436523438,0.5858283638954161,0.4901340901851654,0.4261530041694641,0.4896378219127655,0.0,0.0,1
1680003245.691279,12083,BlankScreen1,2023-03-28 17:04:05.691279,1111.0,500.0,1136.0,506.0,-1.0,-1.0,100699.62900000002,583.6911010742188,580.140380859375,0.5858629345893859,0.4901568591594696,0.4261216819286346,0.4896446168422699,0.0,0.0,1
1680003245.699556,12084,BlankScreen1,2023-03-28 17:04:05.699556,1114.0,465.0,1123.0,503.0,-1.0,-1.0,100707.90399999998,583.736328125,580.202880859375,0.5860440135002136,0.4901886582374572,0.4262818098068237,0.4896042048931121,0.0,0.0,1
1680003245.7080386,12085,BlankScreen1,2023-03-28 17:04:05.708039,1117.0,493.0,1130.0,513.0,2.8775787353515625,2.981536865234375,100716.38900000002,583.832275390625,580.2744140625,0.5859075188636779,0.4901661872863769,0.4261881113052368,0.4896386861801147,0.0,0.0,1
1680003245.716228,12086,BlankScreen1,2023-03-28 17:04:05.716228,1121.0,475.0,1138.0,525.0,-1.0,-1.0,100724.57799999998,583.8270874023438,580.2363891601562,0.5858951210975647,0.490156352519989,0.4261389970779418,0.4896125495433807,0.0,0.0,1
1680003245.7246337,12087,BlankScreen1,2023-03-28 17:04:05.724634,1073.0,517.0,1141.0,530.0,-1.0,-1.0,100732.983,583.8927612304688,580.2906494140625,0.585969567298889,0.4901091754436492,0.4262816905975341,0.4896209836006164,0.0,0.0,1
1680003245.73288,12088,BlankScreen1,2023-03-28 17:04:05.732880,1091.0,498.0,1154.0,541.0,2.608871459960937,3.043060302734375,100741.22999999998,583.9918212890625,580.3180541992188,0.585927903652191,0.4901704788208007,0.4261912703514099,0.4896390736103057,0.0,0.0,1
